Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 100 --call-graph fp --app com.zamface
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 87150
Event count: 132874736263

Overhead  Tid   Command
0.00%     7569  PfRxCachedThrea
0.00%     7471  PfRxCachedThrea
0.00%     7501  PfRxCachedThrea
0.00%     7576  PfRxCachedThrea
0.00%     7583  PfRxCachedThrea
0.00%     7534  PfRxCachedThrea
0.00%     7595  PfRxCachedThrea
0.00%     7387  PfRxCachedThrea
0.00%     7543  PfRxCachedThrea
0.00%     7473  PfRxCachedThrea
0.00%     7476  PfRxCachedThrea
0.00%     6750  OkHttp Connecti
0.00%     7448  PfRxCachedThrea
0.00%     7502  PfRxCachedThrea
0.00%     7529  PfRxCachedThrea
0.00%     7385  ScionFrontendAp
0.00%     7485  PfRxCachedThrea
0.00%     7608  PfRxCachedThrea
0.00%     7559  PfRxCachedThrea
0.00%     7557  PfRxCachedThrea
0.00%     7482  PfRxCachedThrea
0.00%     7533  PfRxCachedThrea
0.00%     7513  PfRxCachedThrea
0.00%     7477  PfRxCachedThrea
0.00%     7554  PfRxCachedThrea
0.00%     7398  RequestFactoryE
0.00%     7445  PfRxCachedThrea
0.00%     7481  PfRxCachedThrea
0.00%     7457  PfRxCachedThrea
0.00%     6580  GoogleApiHandle
0.00%     7402  RequestFactoryE
0.00%     7517  PfRxCachedThrea
0.00%     7522  PfRxCachedThrea
0.00%     7468  PfRxCachedThrea
0.00%     7512  PfRxCachedThrea
0.00%     6686  CookieMonsterBa
0.00%     7466  PfRxCachedThrea
0.00%     7436  PfRxCachedThrea
0.00%     7479  PfRxCachedThrea
0.00%     7399  RequestFactoryE
0.00%     7403  RequestFactoryE
0.00%     6788  i.zamface.co.kr
0.00%     7752  glide-source-th
0.00%     6750  yAndAckSettings
0.00%     7752  OkHttp Dispatch
0.00%     7759  glide-source-th
0.00%     6788  OkHttp TaskRunn
0.00%     6785  OkHttp TaskRunn
0.00%     7603  PfRxCachedThrea
0.00%     6746  glide-active-re
0.00%     7763  udfront.net/...
0.00%     7407  RequestFactoryE
0.00%     6625  DefaultDispatch
0.00%     7614  PfRxCachedThrea
0.00%     7615  PfRxCachedThrea
0.00%     7611  PfRxCachedThrea
0.00%     6627  DefaultDispatch
0.00%     6631  DefaultDispatch
0.00%     6646  Okio Watchdog
0.00%     7613  PfRxCachedThrea
0.00%     7612  PfRxCachedThrea
0.00%     7616  PfRxCachedThrea
0.00%     7617  PfRxCachedThrea
0.00%     7218  OkHttp TaskRunn
0.00%     7394  RequestFactoryE
0.00%     7743  OkHttp TaskRunn
0.00%     7395  RequestFactoryE
0.00%     6632  DefaultDispatch
0.00%     7610  PfRxCachedThrea
0.00%     6717  OkHttp Dispatch
0.00%     7405  RequestFactoryE
0.00%     7609  PfRxCachedThrea
0.00%     6748  DefaultDispatch
0.00%     7408  RequestFactoryE
0.00%     6626  DefaultDispatch
0.00%     7389  RequestFactoryE
0.00%     7400  RequestFactoryE
0.00%     7404  RequestFactoryE
0.00%     6768  DefaultDispatch
0.00%     7401  RequestFactoryE
0.00%     7406  RequestFactoryE
0.00%     7463  PfRxCachedThrea
0.00%     6639  DefaultDispatch
